Feature,Coefficient,AbsCoefficient
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_16. Indigenous and foreign languages, literatures, and linguistics",-0.06202703274930396,0.06202703274930396
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Agriculture, natural resources and conservation",-0.059673697114364384,0.059673697114364384
"cat__Highest certificate, diploma or degree (16)_University certificate or diploma below bachelor level",-0.0503462601377814,0.0503462601377814
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_29. Military technologies and applied sciences,0.04725914407560982,0.04725914407560982
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_27. Mathematics and statistics,0.04246866647966083,0.04246866647966083
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_60. Health professions residency/fellowship programs,-0.0414436283004809,0.0414436283004809
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_41. Science technologies/technicians,-0.04030500734762838,0.04030500734762838
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30.37 Design for human health,-0.03790942738828536,0.03790942738828536
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_No postsecondary certificate, diploma or degree",-0.03687559868284631,0.03687559868284631
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_10. Communications technologies/technicians and support services,0.03550618212714076,0.03550618212714076
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_22. Legal professions and studies,0.033806239557288426,0.033806239557288426
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_40. Physical sciences,0.03377651543962024,0.03377651543962024
"cat__Highest certificate, diploma or degree (16)_Postsecondary certificate, diploma or degree",0.03340765823978651,0.03340765823978651
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Physical and life sciences and technologies,0.03213315259072995,0.03213315259072995
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_01. Agricultural and veterinary sciences/services/operations and related fields,-0.030565241713256475,0.030565241713256475
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_12. Culinary, entertainment, and personal services",0.03007881289137393,0.03007881289137393
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_13. Education,0.02964130592285215,0.02964130592285215
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Mathematics, computer and information sciences",-0.02958680952554229,0.02958680952554229
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_05. Area, ethnic, cultural, gender, and group studies",-0.028930643114927667,0.028930643114927667
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_43. Security and protective services,0.027896032217626085,0.027896032217626085
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Personal, protective and transportation services",0.027720252201571028,0.027720252201571028
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_52. Business, management, marketing and related support services",-0.026683411803120522,0.026683411803120522
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_23. English language and literature/letters,0.026214819276236513,0.026214819276236513
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30D Interdisciplinary mathematics, computer and information sciences",0.023858743207530557,0.023858743207530557
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_04. Architecture and related services,0.023790166941912258,0.023790166941912258
cat__Age (15A)_25 to 64 years,0.023702989569271846,0.023702989569271846
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_14. Engineering,-0.023206701727387417,0.023206701727387417
cat__Age (15A)_45 to 54 years,-0.02287014791705549,0.02287014791705549
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Social and behavioural sciences and law,0.022644462572602865,0.022644462572602865
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_11. Computer and information sciences and support services,0.022418374040973094,0.022418374040973094
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_44. Public administration and social service professions,-0.021520183148993753,0.021520183148993753
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_47. Mechanic and repair technologies/technicians,-0.021516097495325487,0.021516097495325487
cat__Age (15A)_15 to 19 years,0.021478893480412244,0.021478893480412244
cat__Age (15A)_25 to 29 years,-0.02052049606866234,0.02052049606866234
cat__GEO_Newfoundland and Labrador,-0.01989120056452214,0.01989120056452214
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30A Interdisciplinary humanities,0.019471595553280617,0.019471595553280617
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_49. Transportation and materials moving,0.01722289508924405,0.01722289508924405
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Health and related fields,-0.01711886026396921,0.01711886026396921
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_55. French language and literature/lettersCAN,0.01706883881942825,0.01706883881942825
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_26. Biological and biomedical sciences,0.016901897568665964,0.016901897568665964
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30C Other interdisciplinary physical and life sciences,-0.016800798978623993,0.016800798978623993
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Humanities,-0.016703202862816263,0.016703202862816263
"cat__Highest certificate, diploma or degree (16)_High (secondary) school diploma or equivalency certificate",-0.016626433677425567,0.016626433677425567
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_38. Philosophy and religious studies,0.015603621640940863,0.015603621640940863
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_09. Communication, journalism and related programs",0.015253075143498551,0.015253075143498551
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_50. Visual and performing arts,-0.015106544899670551,0.015106544899670551
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30B Interdisciplinary social and behavioural sciences,-0.015058477301910496,0.015058477301910496
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30.01 Biological and physical sciences,-0.013986115255814367,0.013986115255814367
cat__Age (15A)_25 to 34 years,0.013925015196639004,0.013925015196639004
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_03. Natural resources and conservation,0.013395310548850342,0.013395310548850342
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_25. Library science,-0.013109134190391674,0.013109134190391674
"cat__Highest certificate, diploma or degree (16)_Bachelor's degree",0.012834319504241435,0.012834319504241435
cat__GEO_British Columbia,0.01234850444430324,0.01234850444430324
"cat__Highest certificate, diploma or degree (16)_College, CEGEP or other non-university certificate or diploma",0.01205803485314052,0.01205803485314052
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_19. Family and consumer sciences/human sciences,-0.011915187981656448,0.011915187981656448
cat__Age (15A)_25 to 54 years,-0.011895436994410355,0.011895436994410355
cat__Age (15A)_75 years and over,-0.011738096608983145,0.011738096608983145
cat__GEO_Northwest Territories,-0.011570455790624058,0.011570455790624058
cat__GEO_Manitoba,0.011210840607590963,0.011210840607590963
cat__Age (15A)_35 to 44 years,0.010466457781006636,0.010466457781006636
cat__GEO_Alberta,0.010332826850666178,0.010332826850666178
cat__GEO_Prince Edward Island,0.00980580866163275,0.00980580866163275
"cat__Highest certificate, diploma or degree (16)_Non-apprenticeship trades certificate or diploma",0.009757825701935932,0.009757825701935932
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Education,0.009448408390665809,0.009448408390665809
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30.16 Accounting and computer science,-0.009356498931432002,0.009356498931432002
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_61. Medical residency/fellowship programs,0.00917038059494113,0.00917038059494113
cat__GEO_Quebec,-0.009039741787426383,0.009039741787426383
cat__GEO_Canada,0.008287357995264451,0.008287357995264451
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_46. Construction trades,-0.008275052227716378,0.008275052227716378
cat__GEO_Nunavut,-0.008251778936288664,0.008251778936288664
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Business, management and public administration",-0.008178845806797895,0.008178845806797895
cat__GEO_Nova Scotia,-0.00815752812946064,0.00815752812946064
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_15. Engineering/engineering-related technologies/technicians,0.007441927537718137,0.007441927537718137
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_39. Theology and religious vocations,0.007345231158340046,0.007345231158340046
"cat__Highest certificate, diploma or degree (16)_Apprenticeship certificate",0.0072601811150109835,0.0072601811150109835
"cat__Highest certificate, diploma or degree (16)_Earned doctorate",-0.007166162827839661,0.007166162827839661
